ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07621;2020-04-17T17:00:00+02:00;101150;-100.0;8;30;3.2;293.35;285.85;62;40440.0;0;;;90.0;7;5280.0;;;;96990.0;;;-120.0;;;;;285.25;;;5.6;6.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;7.0;;5280.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;8;;0;20.200000000000045;;;;;12.100000000000023;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-20T23:00:00+02:00;100870;70.0;1;280;1.1;285.35;284.85;97;1970.0;61;;;100.0;8;250.0;;;;96610.0;;;-250.0;;;;;286.65;;;1.7;2.8;-10.0;2;0.0;;;0.8;1.0;1.6;2.8;12.7;;;;;6.0;;210.0;7.0;;420.0;8.0;;570.0;;8;;43.188,0.0;TARBES-OSSUN;1;;61;12.200000000000045;;;;;13.5;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-22T11:00:00+02:00;101610;170.0;3;240;5.0;284.75;283.85;94;6900.0;51;;;100.0;8;250.0;;;;97310.0;;;840.0;;;;;284.65;;;7.6;8.8;-10.0;2;0.0;;;-0.1;-0.1;-0.1;2.0;20.0;;;;;7.0;;270.0;8.0;;450.0;;;;;;;43.188,0.0;TARBES-OSSUN;3;;51;11.600000000000023;;;;;11.5;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-23T17:00:00+02:00;101850;-110.0;7;140;1.9;289.55;284.25;71;43560.0;0;;;100.0;8;800.0;;;;97610.0;;;190.0;;;;;285.25;;;3.3;3.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;720.0;6.0;;900.0;8.0;;1080.0;;;;43.188,0.0;TARBES-OSSUN;7;;0;16.400000000000034;;;;;12.100000000000023;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-25T11:00:00+02:00;101050;60.0;2;300;1.1;288.85;285.95;83;59810.0;0;;;100.0;8;1750.0;;;;96840.0;;;-440.0;;;;;286.55;;;2.0;2.2;-10.0;0;0.0;;;0.0;0.0;0.0;-0.1;0.6;;;;;8.0;;1680.0;;9;;;;;;;;43.188,0.0;TARBES-OSSUN;2;;0;15.700000000000045;;;;;13.400000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-29T23:00:00+02:00;101220;60.0;3;240;1.6;285.75;282.95;83;47170.0;0;;;;5;2820.0;;;;96950.0;;;-430.0;;;;;286.05;;;3.1;4.7;-10.0;0;0.0;;;0.0;0.2;0.2;0.2;0.2;;;;;1.0;;2820.0;5.0;;3780.0;;;;;;;43.188,0.0;TARBES-OSSUN;3;;0;12.600000000000023;;;;;12.900000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-05-29T05:00:00+02:00;101830;-130.0;6;170;2.6;287.45;284.95;85;20550.0;0;;;;0;;;;;97560.0;;;-640.0;;;;;288.55;;;3.2;3.3;-10.0;0;0.0;;;0.0;0.0;0.2;0.2;0.2;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;6;;0;14.300000000000011;;;;;15.400000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;5
07621;2020-02-23T19:00:00+01:00;103300;60.0;3;10;2.6;284.85;278.25;64;51130.0;0;;;;0;;;;;98920.0;;;-170.0;273.15;;293.05;;276.25;;;4.0;8.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;3;;0;11.700000000000045;0.0;;19.900000000000034;;3.1000000000000227;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-24T10:00:00+01:00;102850;-90.0;8;170;0.7;280.45;276.45;76;18190.0;0;;;;0;;;;;98420.0;;;-600.0;;;;;275.25;;;1.7;1.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;8;;0;7.300000000000011;;;;;2.1000000000000227;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-25T22:00:00+01:00;102050;160.0;1;250;5.9;281.25;279.35;88;32520.0;0;;;100.0;8;450.0;;;;97670.0;;;-310.0;;;;;281.45;;;9.9;14.3;-10.0;1;0.0;;;0.2;1.2;3.4;3.6;3.6;;;;;5.0;;420.0;6.0;;600.0;7.0;;780.0;;;;43.188,0.0;TARBES-OSSUN;1;;0;8.100000000000023;;;;;8.300000000000011;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-04-03T11:00:00+02:00;101990;120.0;1;270;4.3;283.25;276.55;63;8740.0;0;;;;0;;;;;97640.0;;;530.0;;;;;278.05;;;6.4;7.4;-10.0;0;0.0;;;0.0;0.0;0.0;0.2;0.6;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;1;;0;10.100000000000023;;;;;4.900000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-07T05:00:00+02:00;102350;-90.0;7;290;1.0;283.75;282.65;93;7310.0;0;;;90.0;7;150.0;;;;98000.0;;;650.0;;;;;283.25;;;1.3;3.4;-10.0;0;0.0;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;7.0;;150.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;7;;0;10.600000000000023;;;;;10.100000000000023;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-04-09T11:00:00+02:00;102010;50.0;1;10;1.7;291.85;281.75;52;51460.0;0;;;;0;;;;;97790.0;;;-300.0;;;;;279.95;;;3.2;3.2;-10.0;;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;1;;0;18.700000000000045;;;;;6.800000000000011;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;4
07621;2020-02-09T01:00:00+01:00;102630;-90.0;5;60;0.8;281.65;281.35;98;2680.0;10;;;90.0;7;80.0;;;;98240.0;;;350.0;;;;;280.05;;;1.6;3.0;-10.0;1;0.0;;;0.0;0.2;0.8;0.8;0.8;;;;;3.0;;90.0;5.0;;240.0;7.0;;510.0;;;;43.188,0.0;TARBES-OSSUN;5;;10;8.5;;;;;6.900000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-09T19:00:00+01:00;102440;90.0;2;210;2.3;284.35;279.25;71;46570.0;0;;;;4;6780.0;;;;98090.0;;;-100.0;276.95;;291.35;;278.65;;;2.8;3.0;-10.0;0;0.0;;;0.0;0.0;0.0;-0.1;0.8;;;;;4.0;;6780.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;2;;0;11.200000000000045;3.8000000000000114;;18.200000000000045;;5.5;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-08T01:00:00+01:00;102370;20.0;1;170;2.7;276.15;273.05;80;22300.0;0;;;;0;;;;;97890.0;;;-30.0;;;;;276.15;;;3.4;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;1;;0;3.0;;;;;3.0;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-14T10:00:00+01:00;102730;80.0;0;140;2.3;284.45;281.85;84;35610.0;0;;;;0;;;;;98370.0;;;780.0;;;;;280.05;;;3.3;3.9;-10.0;0;;;;0.0;0.0;0.0;0.4;0.4;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;0;;0;11.300000000000011;;;;;6.900000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-02-15T10:00:00+01:00;102390;100.0;1;140;1.3;283.45;278.65;72;40780.0;0;;;;0;;;;;98030.0;;;-340.0;;;;;277.65;;;2.1;4.0;-10.0;0;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;1;;0;10.300000000000011;;;;;4.5;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;2
07621;2020-10-31T22:00:00+01:00;102380;-30.0;8;190;2.7;283.45;280.15;80;12640.0;0;;;;0;;;;;98020.0;;;-130.0;;;;;283.55;;;3.4;4.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;8;;0;10.300000000000011;;;;;10.400000000000034;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;10
07621;2020-06-01T23:00:00+02:00;101640;200.0;3;70;1.8;291.75;290.05;90;16980.0;0;;;90.0;1;1250.0;;;;97450.0;;;380.0;;;;;292.85;;;3.4;6.3;-10.0;0;0.0;;;-0.1;0.8;5.7;5.9;5.9;;;;;1.0;;1380.0;5.0;;1800.0;6.0;;2160.0;;9;;43.188,0.0;TARBES-OSSUN;3;;0;18.600000000000023;;;;;19.700000000000045;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;6
07621;2020-07-31T14:00:00+02:00;101350;50.0;1;290;4.6;303.75;293.35;54;40750.0;0;;;;0;;;;;97340.0;;;100.0;;;;;292.75;;;8.6;8.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;;;;;43.188,0.0;TARBES-OSSUN;1;;0;30.600000000000023;;;;;19.600000000000023;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;7
07621;2020-08-03T05:00:00+02:00;101900;-160.0;6;210;1.2;288.15;286.65;91;47730.0;0;;;90.0;3;1250.0;;;;97640.0;;;-210.0;;;;;290.45;;;1.7;1.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;2.4;;;;;3.0;;1350.0;7.0;;4080.0;;;;;;;43.188,0.0;TARBES-OSSUN;6;;0;15.0;;;;;17.30000000000001;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;8
07621;2020-08-07T17:00:00+02:00;101270;-90.0;8;10;2.1;311.25;286.55;23;37890.0;0;;;;1;6840.0;;;;97340.0;;;40.0;;;;;289.95;;;5.5;6.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;6840.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;8;;0;38.10000000000002;;;;;16.80000000000001;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;8
07621;2020-09-17T17:00:00+02:00;101120;-120.0;6;130;4.2;303.75;284.65;31;44060.0;0;;;100.0;8;3060.0;;;;97100.0;;;-410.0;;;;;286.15;;;6.8;9.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;3060.0;8.0;;3660.0;;;;;;;43.188,0.0;TARBES-OSSUN;6;;0;30.600000000000023;;;;;13.0;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;9
07621;2020-09-18T02:00:00+02:00;101130;-110.0;6;130;3.4;294.55;284.55;53;59630.0;0;;;100.0;8;4320.0;;;;96990.0;;;-570.0;;;;;287.65;;;4.8;4.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;4320.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;6;;0;21.400000000000034;;;;;14.5;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;9
07621;2020-09-18T17:00:00+02:00;101100;-70.0;8;60;2.1;298.75;287.55;50;46080.0;0;;;;2;3540.0;;;;97020.0;;;-80.0;;;;;289.75;;;3.8;4.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;3540.0;;;;;;;;;;43.188,0.0;TARBES-OSSUN;8;;0;25.600000000000023;;;;;16.600000000000023;360;0.0;43.188;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;9
